,loss,acc
90,1.526833046,32.49696927
91,1.506581509,32.98848802
92,1.491842266,32.55821282
93,1.481067113,32.55578615
94,1.483341093,33.92210191
95,1.478516982,33.0611847
96,1.481478039,33.56851806
97,1.479222354,32.44434159
98,1.478286654,33.22368505
99,1.400098868,32.17920894
100,1.389011684,32.76000097
101,1.38275311,32.39320494
102,1.371108136,33.33085648
103,1.376863791,33.36960576
104,1.374777221,32.29052913
105,1.375300301,33.0576591
106,1.371063117,32.50135552
107,1.371423927,32.88452315
108,1.300989842,33.06402621
109,1.286033899,32.28355723
110,1.276236379,32.12381414
111,1.269148211,31.39751554
112,1.273160834,33.50229618
113,1.269845285,32.69624586
114,1.269700896,32.94983061
115,1.266966739,33.28101504
116,1.267304272,33.18642661
117,1.214736136,32.12895116
118,1.197442471,32.62247829
119,1.18774948,32.16831819
120,1.177089058,32.28735892
121,1.177889737,32.93834376
122,1.171877484,32.70358787
123,1.171809545,32.72752397
124,1.167960418,32.47647003
125,1.165451569,32.61600567
126,1.110263875,32.40575309
127,1.097089256,32.50480807
128,1.08582042,32.44790055
129,1.075752027,32.14983311
130,1.074765087,33.14701085
131,1.069639845,33.18240453
132,1.068681019,32.55541117
133,1.063275247,32.48137111
134,1.059778614,32.43767001
135,1.028461412,32.41085869
136,1.012222481,32.56422171
137,0.997968654,32.82092181
138,0.983290997,32.64889742
139,0.980106084,33.12681259
140,0.973767892,32.1021227
141,0.971864626,32.27956028
142,0.968425751,31.97535203
143,0.965275763,32.75120118
144,0.903053814,31.96287275
145,0.900942428,32.21850928
146,0.89250126,31.54108674
147,0.882243875,32.05942956
148,0.880508566,32.67649733
149,0.87650225,32.41364178
150,0.875044453,32.74961281
151,0.872955021,32.46466361
152,0.871292754,32.61801768
153,0.839807739,32.16120268
154,0.827744095,32.40151246
155,0.815140322,32.03722258
156,0.805473223,32.71356642
157,0.803734526,32.71689843
158,0.797919733,32.88802999
159,0.797895023,31.49119708
160,0.795629815,32.65675234
161,0.793553336,32.60001029
162,0.753645688,31.75998092
163,0.754848359,31.73419976
164,0.74859261,31.48336164
165,0.741453054,32.42516787
166,0.738331324,32.72854619
167,0.730539177,32.39634369
168,0.730780607,31.91138359
169,0.729631725,32.11998008
170,0.72844488,32.9740996
171,0.700312564,32.56655592
172,0.690751023,32.93165179
173,0.684120135,31.91668586
174,0.680032439,31.62382125
175,0.678784548,32.97211937
176,0.674272022,31.7614023
177,0.672809675,32.79479646
178,0.67124802,31.72015961
179,0.670120736,32.29673317
180,0.644457721,32.74352722
181,0.641070382,32.34834422
182,0.638683917,31.77228472
183,0.630782444,32.27807751
184,0.629006337,32.79667748
185,0.624414002,32.22354799
186,0.624675928,31.3499394
187,0.625002563,31.78579713
188,0.624711679,32.18887784
189,0.615456067,32.28615481
190,0.610139523,32.10539362
191,0.600913276,31.5901599
192,0.594856245,31.62894619
193,0.593769048,32.10153814
194,0.59088395,31.7468992
195,0.590671254,32.18045473
196,0.589133984,32.5348678
197,0.588673087,32.69332027
198,0.571485275,32.64685114
199,0.572311687,32.25465077
200,0.562504521,32.19288711
201,0.554920076,31.17079908
202,0.552768435,32.1122619
203,0.55000403,32.54690648
204,0.552210471,32.172844
205,0.55180465,32.82170066
206,0.551720014,32.22664345
207,0.536520096,32.65532575
208,0.531250784,32.24508066
209,0.525322372,30.83089965
210,0.521929268,31.98452877
211,0.521900397,33.09835673
212,0.518747653,32.22015125
213,0.520432187,32.78431492
214,0.521090728,32.37761066
215,0.520772104,32.85476583
216,0.518551123,31.77432178
